"25087","13","",""
"25047","15","",""
"17061","15","",""
"20549","20","",""
"24823","19","",""
"24833","20","",""
"24834","27","",""
"24835","27","",""
"24836","20","",""
"24837","15","",""
"24806","17","",""
"24807","17","",""
"24808","24","",""
"24809","17","",""
"24810","24","",""
"24811","24","",""
"24812","17","",""
"24813","13","",""
"24814","19","",""
"24815","19","",""
"24816","25","",""
"24817","19","",""
"24818","25","",""
"24819","25","",""
"24820","19","",""
"24821","13","",""
"24822","19","",""
"24824","26","",""
"24825","19","",""
"24826","26","",""
"24827","26","",""
"24828","19","",""
"24829","14","",""
"24830","20","",""
"24831","20","",""
"24832","27","",""
"24918","17","",""
"24919","17","",""
"24920","24","",""
"24921","17","",""
"24922","24","",""
"24923","24","",""
"24924","17","",""
"24925","13","",""
"24926","19","",""
"24927","19","",""
"24928","25","",""
"24929","19","",""
"24930","25","",""
"24931","25","",""
"24932","19","",""
"24933","13","",""
"24934","19","",""
"24935","19","",""
"24936","26","",""
"24937","19","",""
"24938","26","",""
"24939","26","",""
"24940","19","",""
"24941","14","",""
"24942","20","",""
"24943","20","",""
"24944","27","",""
"24945","20","",""
"24946","27","",""
"24947","27","",""
"24948","20","",""
"24949","15","",""
"24575","17","",""
"24582","17","",""
"24583","17","",""
"24584","17","",""
"24585","17","",""
"24586","24","",""
"24587","24","",""
"24588","24","",""
"24589","24","",""
"24590","24","",""
"24591","24","",""
"24592","24","",""
"24593","24","",""
"24594","25","",""
"24595","25","",""
"24596","25","",""
"24597","25","",""
"24598","19","",""
"24599","19","",""
"24600","19","",""
"24601","19","",""
"24602","26","",""
"24603","19","",""
"24604","14","",""
"24605","20","",""
"24606","20","",""
"24607","20","",""
"24608","20","",""
"24609","20","",""
"24610","20","",""
"24611","20","",""
"24612","20","",""
"24693","36","",""
"24694","17","",""
"24695","37","",""
"24696","37","",""
"24697","37","",""
"24698","37","",""
"24699","37","",""
"24700","37","",""
"24701","13","",""
"24702","13","",""
"24703","13","",""
"24704","17","",""
"24705","17","",""
"24706","25","",""
"24707","25","",""
"24708","13","",""
"24709","13","",""
"24710","13","",""
"24711","26","",""
"24712","19","",""
"24713","19","",""
"24714","26","",""
"24715","19","",""
"24716","19","",""
"24717","19","",""
"24718","20","",""
"24719","20","",""
"24720","20","",""
"24721","20","",""
"24722","20","",""
"24723","20","",""
"24724","20","",""
"24806","17","",""
"24807","17","",""
"24808","21","",""
"24809","21","",""
"24810","21","",""
"24811","37","",""
"24812","17","",""
"24813","17","",""
"24814","17","",""
"24815","17","",""
"24816","17","",""
"24817","25","",""
"24818","19","",""
"24819","19","",""
"24820","19","",""
"24821","19","",""
"24822","25","",""
"24823","25","",""
"24824","25","",""
"24825","19","",""
"24826","26","",""
"24827","26","",""
"24828","19","",""
"24829","19","",""
"24830","20","",""
"24831","20","",""
"24832","20","",""
"24833","20","",""
"24834","27","",""
"24835","27","",""
"24836","27","",""
"24837","15","",""
"24918","37","",""
"24919","37","",""
"24920","37","",""
"24921","17","",""
"24922","17","",""
"24923","17","",""
"24924","24","",""
"24925","13","",""
"24926","13","",""
"24927","13","",""
"24928","13","",""
"24929","19","",""
"24930","19","",""
"24931","19","",""
"24932","25","",""
"24933","25","",""
"24934","19","",""
"24935","19","",""
"24936","19","",""
"24937","19","",""
"24938","26","",""
"24939","26","",""
"24940","26","",""
"24941","26","",""
"24942","20","",""
"24943","20","",""
"24944","27","",""
"24945","27","",""
"24946","27","",""
"24947","27","",""
"24948","27","",""
"24949","20","",""
"25030","27","",""
"25031","37","",""
"25032","27","",""
"25033","27","",""
"25044","19","",""
"25045","13","",""
"25046","13","",""
"25047","13","",""
"25058","17","",""
"25059","21","",""
"25060","14","",""
"25061","14","",""
"25072","13","",""
"25073","21","",""
"25074","21","",""
"25075","15","",""
"25086","20","",""
"25087","20","",""
"25088","20","",""
"25089","20","",""
