"21251","SSC","Underbog Colossus","6","Underbog Colossus","Tiefensumpfkoloss","幽暗沼泽巨人","Колосс Нижетопи","Colosse de Basse-Tourbière","","","","- 6 Underbog Colossus (ID: 21251)","","","","","","","","","","","","","","","","7/28/2026 11:30:02","","","","","2","3","4","5","6","7","8"
"21301","SSC","Coilfang Shatterer","14","Coilfang Shatterer","Zertrümmerer des Echsenkessels","盘牙粉碎者","Раздробитель резервуара Кривого Клыка","Briseur de Glissecroc","","","","- 14 Coilfang Shatterer (ID: 21301)","","","21217","20033","628","733","548","550","1111","1111","623","730","21212","20033","","","","","","","","","","","","",""
"21229","SSC","Greyheart Tidecaller","16","Greyheart Tidecaller","Gezeitenrufer der Grauherzen","暗心唤潮者","Волномут из племени Седого Сердца","Maître des flots griscoeur","","","","- 16 Greyheart Tidecaller (ID: 21229)","","","21229","20035","","","","","1059","1059","624","731","21216","20034","","","","","","","","","","","","",""
"21299","SSC","Coilfang Fathom-Witch","6","Coilfang Fathom-Witch","Tiefenhexe des Echsenkessels","盘牙深渊女巫","Ведьма пучин резервуара Кривого Клыка","Sorcière des fonds de Glissecroc","","","","- 6 Coilfang Fathom-Witch (ID: 21299)","","","21301","20037","","","","","","","625","732","21217","20031","","","","","","","","","","","","",""
"","SSC","Tidewalker Depth-Seer/Harpooner/Hydromancer/Shaman/Warrior","20","Tidewalker Depth-Seer/Harpooner/Hydromancer/Shaman/Warrior","Tiefenseher/Harpunenk/Wasserb/Schamane/Krieger der Gezeitenwandler","踏潮深渊先知/踏潮持叉者/踏潮水术师/踏潮萨满/踏潮战士","Волноступ-воин & -шаман/Приливный гарпунер/Гидромант-волноступ","Voyant des profondeurs / Harponneur / Hydromancie, / Chaman / Guerrier marcheur-des-flots","","","","- 20 Tidewalker Depth-Seer/Harpooner/Hydromancer/Shaman/Warrior (ID: 21224,21225,21226,21227,21228)","","","","20039","","","","","","","626","733","21215","20032","","","","","","","","","","","","",""
"21218","SSC","Vashj'ir Honor Guard","6","Vashj'ir Honor Guard","Ehrenwache der Vashj'ir","瓦斯琪的荣誉卫兵","Отважный страж Вайш'ира","Garde d'honneur Vashj'ir","","","","- 6 Vashj'ir Honor Guard (ID: 21218)","","","21299","","","","","","","","627","50730","21214","20035","","","","","","","","","","","","",""
"20031","TK","Bloodwarder Legionnaire","11","Bloodwarder Legionnaire","Legionär der Blutwärter","血警卫军团士兵","Кровостраж-легионер","Légionnaire garde-sang","","","","- 11 Bloodwarder Legionnaire (ID: 20031)","","","","","","","","","","","628","50731","21213","20036","","","","","","","","","","","","",""
"20032","TK","Bloodwarder Vindicator","3","Bloodwarder Vindicator","Verteidiger der Blutwärter","血警卫守备官","Кровостраж-воздаятель","Redresseur de torts garde-sang","","","","- 3 Bloodwarder Vindicator (ID: 20032)","","","","","","","","","","","50623","50732","21221","20038","","","","","","","","","","","","",""
"20036","TK","Bloodwarder Squire","12","Bloodwarder Squire","Knappe der Blutwärter","血警卫侍从","Кровостраж-оруженосец","Ecuyer garde-sang","","","","- 12 Bloodwarder Squire (ID: 20036)","","","","","","","","","","","50624","50733","21339","20037","","","","","","","","","","","","",""
"20037","TK","Tempest Falconer","4","Tempest Falconer","Falkner der Stürme","风暴要塞驯鹰者","Сокольничий крепости","Fauconnier de la Tempête","","","","- 4 Tempest Falconer (ID: 20037)","","","","","","","","","","","50625","100730","21246","20039","","","","","","","","","","","","",""
"20039","TK","Phoenix-Hawk","4","Phoenix-Hawk","Phönixfalke","凤鹰","Ястребиный феникс","Faucon-phénix","","","","- 4 Phoenix-Hawk (ID: 20039)","","","","","","","","","","","50626","100731","21251","20040","","","","","","","","","","","","",""
"20040","TK","Crystalcore Devastator","4","Crystalcore Devastator","Kristallkernverwüster","晶核摧毁者","Кристаллиновый уничтожитель","Dévastateur coeur-de-cristal","","","","- 4 Crystalcore Devastator (ID: 20040)","","","","","","","","","","","50627","100732","21218","20041","","","","","","","","","","","","",""
"20041","TK","Crystalcore Sentinel","10","Crystalcore Sentinel","Kristallkernschildwache","晶核斥候","Кристаллиновый часовой","Sentinelle coeur-de-cristal","","","","- 10 Crystalcore Sentinel (ID: 20041)","","","","","","","","","","","50628","100733","21220","20052","","","","","","","","","","","","",""
"20046","TK","Astromancer Lord","1","Astromancer Lord","Astromantenlord","星术师领主","Повелитель звездочетов","Seigneur astromancien","","","","- 1 Astromancer Lord (ID: 20046)","","","","","","","","","","","100623","","21301","20042","","","","","","","","","","","","",""
"20045","TK","Nether Scryer","2","Nether Scryer","Netherseher","虚空占卜者","Провидец Пустоты","Scruteur du néant","","","","- 2 Nether Scryer (ID: 20045)","","","","","","","","","","","100624","","21263","20049","","","","","","","","","","","","",""
"20047","TK","Crimson Hand Battle Mage","4","Crimson Hand Battle Mage","Kampfmagier der Purpurhand","炽手战斗法师","Боевой маг из армии Багровой Длани","Mage de bataille de la Main cramoisie","","","","- 4 Crimson Hand Battle Mage (ID: 20047)","","","","","","","","","","","100625","","21229","20047","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","100626","","21230","20048","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","100627","","21232","20045","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","100628","","21298","20046","","","","","","","","","","","","",""
