"25507","SW","Sunblade Protector","5","Sunblade Protector","Beschützer der Sonnenklingen","炎刃保卫者","Заступник Солнечного Клинка","Protecteur lamesoleil","","","","- 5 Sunblade Protector (ID: 25507)","","","","","","","","","","","","","","","","","","","","2","3","4","5","6","7","8"
"","SW","Sunblade Arch Mage/Cabalist/Dawn Priest/Dusk Priest/Slayer/Vindicator","65","Sunblade Arch Mage/Cabalist/Dawn Priest/Dusk Priest/Slayer/Vindicator","Erzmagier/Kabalist/Töter/Verteidiger/Abendpriester/Morgenpriester der Sonnenklingen","炎刃黎明祭司/炎刃黄昏祭司/炎刃守备官/炎刃斩杀者/炎刃大法师/炎刃秘法师","Кабалист/Верховный маг/Душегуб/Воздаятель/Жрец заката/Жрец восхода Солнечного Клинка","Prêtre de l'aube/Prêtre du crépuscule/Redresseur/Pourfendeur/Archimage/Cabaliste lamesoleil","","","","- 65 Sunblade Arch Mage/Cabalist/Dawn Priest/Dusk Priest/Slayer/Vindicator (ID: 25363,25367,25368,25369,25370,25371)","","","25507","729","580","1114","724","25507","","","","","","","","","","","","","","","","","",""
"25372","SW","Sunblade Scout","4","Sunblade Scout","Späher der Sonnenklingen","炎刃斥候","Разведчик Солнечного Клинка","Eclaireur lamesoleil","","","","- 4 Sunblade Scout (ID: 25372)","","","","50729","","","725","25363","","","","","","","","","","","","","","","","","",""
"","SW","Shadowsword Commander/Lifeshaper/Manafiend/Soulbinder/Vanquisher","26","Shadowsword Commander/Lifeshaper/Manafiend/Soulbinder/Vanquisher","Bezwinger/Manabestie/Lebensformer/Kommandant/Seelenbinder der Schattenschwerter","影刃指挥官/影刃塑能者/影刃征服者/影刃嗜魔者/影刃缚魂者","Командир/Мастер жизни/Покоритель/Манадемон/Стражница душ из клана Темного Меча","Commandant/Sculptevie/Vainqueur/Manafiel/Lieuse d'âme ombrépée","","","","- 26 Shadowsword Commander/Lifeshaper/Manafiend/Soulbinder/Vanquisher (ID: 25373,25483,25486,25506,25837)","","","","","","","726","25367","","","","","","","","","","","","","","","","","",""
"25592","SW","Doomfire Destroyer","1","Doomfire Destroyer","Verdammnisfeuerzerstörer","魔火毁灭者","Разрушитель Рокового Огня","Destructeur du feu funeste","","","","- 1 Doomfire Destroyer (ID: 25592)","","","","","","","727","25368","","","","","","","","","","","","","","","","","",""
"","SW","Oblivion Mage/Painbringer/Priestess of Torment","6","Oblivion Mage/Painbringer/Priestess of Torment","Infernomagier/Schmerzbringer/Priesterin der Qual","湮灭法师/痛苦使者/苦痛祭司","Маг Забвения/Вестник боли/Жрица мучений","Mage de l'oubli/Douloureuse/Prêtresse du tourment","","","","- 6 Oblivion Mage/Painbringer/Priestess of Torment (ID: 25509,25591,25597)","","","","","","","728","25369","","","","","","","","","","","","","","","","","",""
"25593","SW","Apocalypse Guard","4","Apocalypse Guard","Wächter der Apokalypse","天启卫士","Апокалиптический страж","Garde de l'apocalypse","","","","- 4 Apocalypse Guard (ID: 25593)","","","","","","","729","25370","","","","","","","","","","","","","","","","","",""
"25599","SW","Cataclysm Hound","2","Cataclysm Hound","Desasterhund","灾难犬","Гончая Катаклизма","Chien de Cataclysme","","","","- 2 Cataclysm Hound (ID: 25599)","","","","","","","50724","25371","","","","","","","","","","","","","","","","","",""
"25508","SW","Shadowsword Guardian","2","Shadowsword Guardian","Wächter der Schattenschwerter","影刃卫士","Страж из клана Темного Меча","Gardien ombrépée","","","","- 2 Shadowsword Guardian (ID: 25508)","","","","","","","50725","25372","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","50726","25373","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","50727","25483","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","50728","25484","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","50729","25485","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25486","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25506","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25837","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25593","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25599","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25592","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25509","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25591","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25597","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25851","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25598","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25508","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25595","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25268","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25948","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25860","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25864","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25867","","","","","","","","","","","","","","","","","",""
