"10000","max. milliseconds an npc can be present after a fight has started to be count as a starting point","","","","","","","300","seconds to add if trash requirement is fully missed","","","","60000","prepotting cutoff","348191","excluded from reflected","","63120","mc spells","","46768","excluded from friendly fire","","","29232 [101115]","buffs blacklisted [whitelisted encounter]","","","55213 [9999999]","enemy buffs blacklisted [whitelisted encounter]","","","","744 [4]","encounter id [max hardmode]","","","no","Indestructible Potion change active","","","no","all epic gems released","","15589","damage taken excluded for tanks",""
"60","seconds to add for characters over the limit","","","","","","","","","","","","","","16666","","","28410","","","63120","","","","6724 [9999999]","","","","","","","","","747 [1]","","","","yes","Indestructible Potion change active fixed","","","","","","20677","",""
"618","bosses (=encounter id) pvp gear is okay on","","","","","","","724","bosses which are excluded from everything (e.g. Kalecgos or vehicle fights)","","","","","","11684","","","71289","","","63023","","","","23060 [9999999]","","","","","","","","","748 [2]","","","","","","","","","","","69055","",""
"619","","","","","","","","744","","","","","","","11683","","","70923","","","65120","","","","7396 [9999999]","","","","","","","","","751 [1]","","","","","","","","","","","70670","",""
"622","","","","","","","","847","","","","","","","1949","","","","","","","","","","5917 [9999999]","","","","","","","","","752 [1]","","","","","","","","","","","69649","",""
"727","","","","","","","","1109","","","","","","","26557","","","","","","","","","","51777 [9999999]","","","","","","","","","753 [3]","","","","","","","","","","","72149","",""
"750","","","","","","","","637","","","","","","","28622","","","","","","","","","","51605 [9999999]","","","","","","","","","754 [1]","","","","","","","","","","","70503","",""
"","","","","","","","","713","","","","","","","290025","","","","","","","","","","51800 [9999999]","","","","","","","","","755 [1]","","","","","","","","","","","69242","",""
"","","","","","","","","733","","","","","","","27869","","","","","","","","","","15288 [9999999]","","","","","","","","","756 [4]","","","","","","","","","","","","",""
"","","","","","","","","628","","","","","","","16666","","","","","","","","","","17150 [9999999]","","","","","","","","","742 [3] {ignore}","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","13241","","","","","","","","","","16587 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","20476","","","","","","","","","","28681 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","32221","","","","","","","","","","52281 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","32220","","","","","","","","","","44520 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","30486","","","","","","","","","","44977 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","351761","","","","","","","","","","56410 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","27213","","","","","","","","","","57524 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","38281","","","","","","","","","","33839 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","29766","","","","","","","","","","30037 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","348703","","","","","","","","","","35917 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","41352","","","","","","","","","","8733 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","56488","","","","","","","","","","32689 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","40871","","","","","","","","","","38647 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","348703","","","","","","","","","","50182 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","41352","","","","","","","","","","56410 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","45348","","","","","","","","","","38648 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","41352","","","","","","","","","","38649 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","45034","","","","","","","","","","34809 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","45642","","","","","","","","","","54589 [9999999]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","65120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","62169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","62168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","66870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","70106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","71665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","71341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","72999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","69062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","69290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","70426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","69770","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
