"17895","MH","Ghoul","124","Ghoul","Ghul","食尸鬼","Вурдалак","Goule","","","","- 124 Ghoul (ID: 17895)","","","","","","","","","","","","","","","","","","","","","2","3","4","5","6","7","8"
"22884","BT","Leviathan","2","Leviathan","Leviathan","海兽","Левиафан","Léviathan","","","","- 2 Leviathan (ID: 22884)","","","17895","22884","622","609","534","564","1112","1112","618","601","17895","22887","","","","","","","","","","","","",""
"22878","BT","Aqueous Lord","3","Aqueous Lord","Aqueouslord","邪水领主","Повелитель вод","Seigneur aqueux","","","","- 3 Aqueous Lord (ID: 22878)","","","","","50622","50609","","","","","619","602","17897","22898","","","","","","","","","","","","",""
"22877","BT","Coilskar Wrangler","4","Coilskar Wrangler","Zänker der Echsennarbe","库斯卡争斗者","Укротитель из клана Змеиных Колец","Querelleur glissentaille","","","","- 4 Coilskar Wrangler (ID: 22877)","","","","","","","","","","","620","603","17898","22948","","","","","","","","","","","","",""
"22873","BT","Coilskar General","2","Coilskar General","General der Echsennarbe","库斯卡将军","Генерал из клана Змеиных Колец","Général glissentaille","","","","- 2 Coilskar General (ID: 22873)","","","","","","","","","","","621","604","17899","21867","","","","","","","","","","","","",""
"22883","BT","Aquaeous Spawn","14","Aquaeous Spawn","Aqueousbrut","邪水爪牙","Порождение воды","Rejeton aqueux","","","","- 14 Aquaeous Spawn (ID: 22883)","","","","","","","","","","","622","605","17905","22841","","","","","","","","","","","","",""
"23028","BT","Bonechewer Taskmaster","1","Bonechewer Taskmaster","Sklaventreiber der Knochenmalmer","噬骨监工","Надсмотрщик из клана Костеглодов","Sous-chef Mâche-les-os","","","","- 1 Bonechewer Taskmaster (ID: 23028)","","","","","","","","","","","50618","606","17916","23420","","","","","","","","","","","","",""
"","BT","Dragonmaw Wyrmcaller/Illidari Fearbringer","6","Dragonmaw Wyrmcaller/Illidari Fearbringer","Drachenrufer des Drachenmals/Furchtwecker der Illidari","龙吼唤龙者/伊利达雷恐惧使者","Иллидарский устрашитель/Призывательница драконов из клана Драконьей Пасти","Mande-wyrm Gueule-de-dragon / Porte-peur illidari","","","","- 6 Dragonmaw Wyrmcaller/Illidari Fearbringer (ID: 22954/22960)","","","","","","","","","","","50619","607","17906","23419","","","","","","","","","","","","",""
"","BT","Illidari Centurion/Ashtongue Mystic","10","Illidari Centurion/Ashtongue Mystic","Zenturio der Illidari/Mystiker der Aschenzungen","伊利达雷百夫长/灰舌秘术师","Пеплоуст-мистик/Иллидарский центурион","Centurion illidari / Mystique cendrelangue","","","","- 10 Illidari Centurion/Ashtongue Mystic (ID: 22845/23337)","","","","","","","","","","","50620","608","17907","23418","","","","","","","","","","","","",""
"","BT","Illidari Boneslicer/Illidari Defiler/Illidari Heartseeker","12","Illidari Boneslicer/Illidari Defiler/Illidari Heartseeker","Knochenschnitter der Illidari/Schänder der Illidari/Herzsucher der Illidari","伊利达雷切骨者/伊利达雷玷污者/伊利达雷觅心者","Иллидарский костерез/Иллидарский осквернитель/Иллидари - пронзатель сердец","Tranche-os illidari / Profanateur illidari / Cherchecoeur illidari","","","","- 12 Illidari Boneslicer/Illidari Defiler/Illidari Heartseeker (ID: 22869/22853/23339)","","","","","","","","","","","50621","609","17908","22947","","","","","","","","","","","","",""
"22849","BT","Ashtongue Feral Spirit","3","Ashtongue Feral Spirit","Wildgeist der Aschenzungen","灰舌野性之魂","Дух волка Пеплоустов","Esprit farouche cendrelangue","","","","- 3 Ashtongue Feral Spirit (ID: 22849)","","","","","","","","","","","50622","50601","17767","22949","","","","","","","","","","","","",""
