"23889","ZA","Amani'shi Savage","8","Amani'shi Savage","Wilder der Amani'shi","阿曼尼蛮兵","Варвар из племени Амани","Sauvage amani'shi","","","","- 8 Amani'shi Savage (ID: 23889)","","","","","","","","","","","","","","","","","","","","2","3","4","5","6","7","8"
"","ZA","Amani'shi Medicine Man/Amani'shi Wind Walker/Amani'shi Flame Caster","14","Amani'shi Medicine Man/Amani'shi Wind Walker/Amani'shi Flame Caster","Medizinmann der Amani'shi/Windwandler der Amani'shi/Flammenwirker der Amani'shi","阿曼尼医师/阿曼尼风行者/阿曼尼烈焰法师","Целитель из племени Амани/Ветроступ из племени Амани/Заклинатель огня племени Амани","Homme-médecine amani'shi/Marche-vent amani'shi/Lanceur de flammes amani'shi","","","","- 14 Amani'shi Medicine Man/Amani'shi Wind Walker/Amani'shi Flame Caster (ID: 23581,24179,23596)","","","23889","1194","568","1113","1189","24217","","","","","","","","","","","","","","","","","",""
"24180","ZA","Amani'shi Protector","4","Amani'shi Protector","Beschützer der Amani'shi","阿曼尼保卫者","Заступник из племени Амани","Protecteur amani'shi","","","","- 4 Amani'shi Protector (ID: 24180)","","","","501194","","","1190","24047","","","","","","","","","","","","","","","","","",""
"24549","ZA","Amani'shi Tempest","2","Amani'shi Tempest","Sturmkrieger der Amani'shi","阿曼尼暴徒","Бурешторм из племени Амани","Tempête amani'shi","","","","- 2 Amani'shi Tempest (ID: 24549)","","","","","","","1191","23834","","","","","","","","","","","","","","","","","",""
"23582","ZA","Amani'shi Tribesman","2","Amani'shi Tribesman","Stammesangehöriger der Amani'shi","阿曼尼部族成员","Дикарь из племени Амани","Membre de la tribu amani'shi","","","","- 2 Amani'shi Tribesman (ID: 23582)","","","","","","","1192","24159","","","","","","","","","","","","","","","","","",""
"23580","ZA","Amani'shi Warbringer","4","Amani'shi Warbringer","Kriegshetzer der Amani'shi","阿曼尼战争使者","Аманийский завоеватель","Porteguerre amani'shi","","","","- 4 Amani'shi Warbringer (ID: 23580)","","","","","","","1193","24530","","","","","","","","","","","","","","","","","",""
"24530","ZA","Amani Elder Lynx","3","Amani Elder Lynx","Alter Luchs der Amani'shi","阿曼尼老年山猫","Взрослая аманийская рысь","Ancien lynx amani","","","","- 3 Amani Elder Lynx (ID: 24530)","","","","","","","1194","24043","","","","","","","","","","","","","","","","","",""
"24065","ZA","Amani'shi Handler","3","Amani'shi Handler","Tierführer der Amani'shi","阿曼尼训练师","Укротитель из племени Амани","Dresseur amani'shi","","","","- 3 Amani'shi Handler (ID: 24065)","","","","","","","501189","24064","","","","","","","","","","","","","","","","","",""
"24374","ZA","Amani'shi Berserker","4","Amani'shi Berserker","Berserker der Amani'shi","阿曼尼狂战士","Берсерк из племени Амани","Berserker amani'shi","","","","","","","","","","","501190","23542","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","501191","24059","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","501192","24374","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","501193","23596","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","501194","23597","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24065","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23581","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24180","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23587","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23889","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23586","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24549","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23774","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23582","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23580","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24225","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24179","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23574","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23576","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23578","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23577","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24239","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23863","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24240","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24241","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24242","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24243","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24244","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24245","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24246","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24247","","","","","","","","","","","","","","","","","",""
