"34340","30"
"34332","32"
"34339","30"
"34402","33"
"33281","33"
"35319","21"
"33466","27"
"35317","23"
"34359","25"
"34204","32"
"34360","25"
"37928","24"
"34184","20"
"37929","26"
"32587","38"
"32585","27"
"32583","38"
"32579","37"
"33970","33"
"34210","30"
"33489","33"
"32573","38"
"33464","30"
"34202","33"
"34208","24"
"34209","30"
"34390","24"
"34391","30"
"34364","40"
"33317","35"
"34375","40"
"34233","32"
"33965","35"
"34399","27"
"34232","33"
"34365","40"
"33469","40"
"34212","33"
"34396","40"
"34933","51"
"34395","34"
"34398","33"
"32256","32"
"30895","37"
"32258","37"
"32276","37"
"32339","37"
"30914","36"
"33386","30"
"32512","38"
"34935","34"
"34541","29"
"34557","29"
"34543","23"
"34542","27"
"34527","14"
"34554","13"
"34487","24"
"34555","27"
"34528","29"
"33584","45"
"33585","45"
"34181","32"
"34386","42"
"34934","38"
"34383","30"
"34186","30"
"33357","25"
"34564","29"
"34574","25"
"34566","30"
"34565","24"
"34571","19"
"34562","19"
"34559","17"
"34563","30"
"34572","13"
"32586","28"
"32584","28"
"32577","28"
"32582","28"
"33588","25"
"32571","28"
"34447","26"
"34434","20"
"34436","21"
"34437","11"
"34445","12"
"34438","11"
"34435","16"
"34697","18"
"34446","21"
"32328","37"
"32275","37"
"34376","32"
"34344","36"
"33519","25"
"34342","27"
"33974","25"
"34240","30"
"34350","24"
"34406","36"
"34372","38"
"34791","24"
"34409","28"
"34700","16"
"32527","31"
"32528","30"
"33497","29"
"34362","30"
"33498","30"
"34230","31"
"35320","30"
"34363","30"
"34166","22"
"35129","14"
"37927","34"
"34625","14"
"34704","18"
"34429","54"
"35326","40"
"35327","40"
"32524","32"
"35321","16"
"33591","25"
"35324","16"
"33592","25"
"34242","32"
"34702","18"
"32374","55"
"34337","32"
"33468","30"
"34336","23"
"33467","21"
"34335","23"
"34176","30"
"34604","18"
"34790","15"
"33334","17"
"34179","32"
"34206","22"
"34347","18"
"34348","8"
